Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobTask className: JobTask
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobTaskAssignment className: JobTaskAssignment
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobType className: JobType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobTypeMapping className: JobTypeMapping
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobXSI className: JobXSI parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobXSIScript className: JobXSIScript parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: License className: License
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Location className: Location
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Mapping className: Mapping
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: MappingType className: MappingType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Notification className: Notification
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: NotificationDestination className: NotificationDestination
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: NotificationMethod className: NotificationMethod
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: NotificationRoute className: NotificationRoute
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: PathSyncTarget className: PathSyncTarget
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: PathTemplate className: PathTemplate
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: PathTracker className: PathTracker
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Permission className: Permission
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: PhoneNo className: PhoneNo
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: PhoneType className: PhoneType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Project className: Project parent: Element
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ProjectResolution className: Resolution
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ProjectStatus className: ProjectStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ProjectStorage className: ProjectStorage
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: RangeFileTracker className: RangeFileTracker parent: FileTracker
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Schedule className: Schedule
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ServerFileAction className: ServerFileAction
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ServerFileActionStatus className: ServerFileActionStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ServerFileActionType className: ServerFileActionType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Service className: Service
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Shot className: Shot parent: Element
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: ShotGroup className: ShotGroup parent: Element
